mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_type,actor_name,actor,abbreviation,country_based,iso3c,correct?,notes
197,1/127,ORG,Transformation,1,127,848,1,mentioned in agt text,0,,,,,,,,
198,1/127,GPE,Afghanistan,1,127,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
199,1/128,GPE,Afghanistan,1,128,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
200,1/128,ORG,International Community,1,128,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
201,1/130,GPE,Afghanistan,1,130,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
202,1/131,GPE,Afghanistan,1,131,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
203,1/133,ORG,International Community,1,133,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
204,1/133,GPE,Afghanistan,1,133,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
205,1/134,GPE,Afghanistan,1,134,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
206,1/134,ORG,International Community,1,134,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
207,1/136,GPE,Bonn,1,136,848,1,mentioned in agt text,0,,,,,,,,
208,1/136,GPE,Afghanistan,1,136,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
209,1/136,ORG,International Community,1,136,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
210,1/136,GPE,Petersberg,1,136,848,1,mentioned in agt text,0,,,,,,,,
211,1/137,GPE,Afghanistan,1,137,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
212,1/137,ORG,International Community,1,137,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
213,1/138,GPE,Islamic Republic Afghanistan,1,138,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
214,1/138,GPE,Republic Albania,1,138,848,1,mentioned in agt text,CON_587,Country/State,Albania,Albania,ALB,Albania,ALB,,
215,1/138,ORG,People ’s Democratic Republic Algeria,1,138,848,1,mentioned in agt text,CON_255,Country/State,Algeria,Algeria,ALG,Algeria,DZA,,
216,1/138,GPE,Argentine Republic,1,138,848,1,mentioned in agt text,CON_9,Country/State,Argentina,Argentina,ARG,Argentina,ARG,,
217,1/138,GPE,Republic Armenia,1,138,848,1,mentioned in agt text,CON_61,Country/State,Armenia,Armenia,ARM,Armenia,ARM,,
218,1/138,GPE,Australia,1,138,848,1,mentioned in agt text,CON_277,Country/State,Australia,Australia,AUL,Australia,AUS,,
219,1/138,GPE,Republic Austria,1,138,848,1,mentioned in agt text,CON_588,Country/State,Austria,Austria,AUS,Austria,AUT,,
220,1/138,GPE,Republic Azerbaijan,1,138,848,1,mentioned in agt text,CON_59,Country/State,Azerbaijan,Azerbaijan,AZE,Azerbaijan,AZE,,
221,1/138,GPE,Kingdom Bahrain,1,138,848,1,mentioned in agt text,CON_18,Country/State,Bahrain,Bahrain,BAH,Bahrain,BHR,,
222,1/138,ORG,People ’s Republic Bangladesh,1,138,848,1,mentioned in agt text,CON_287,Country/State,Bangladesh,Bangladesh,BNG,Bangladesh,BGD,,
